data_hora,ip,pagina,idioma,resolucio,referer,durada
"2025-12-15 08:20:38","83.50.65.230","contacte","es-ES","1920x1200","","None"
"2025-12-15 08:20:32","83.50.65.230","amplia","es-ES","1920x1200","","None"
"2025-12-15 08:20:24","83.50.65.230","reforç","es-ES","1920x1200","","None"
"2025-12-15 08:20:05","83.50.65.230","estiu","es-ES","1920x1200","","None"
"2025-12-15 08:20:04","83.50.65.230","intro","es-ES","1920x1200","","None"
"2025-12-15 08:19:54","83.50.65.230","reforç","es-ES","1920x1200","","None"
"2025-12-15 08:19:28","83.50.65.230","equip","es-ES","1920x1200","","None"
"2025-12-15 08:19:19","83.50.65.230","pag_principal","es-ES","1920x1200","","None"
"2025-12-14 18:00:59","81.21.229.127","pag_principal","en-US","800x600","","None"
"2025-12-14 16:36:05","212.230.152.70","pag_principal","en-US","320x480","https://www.google.com/","None"
"2025-12-14 16:35:03","79.154.218.172","cpp","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:57","79.154.218.172","matematiques","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:50","79.154.218.172","matematiques","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:48","212.142.160.4","pag_principal","en-US","320x568","https://www.google.com/","None"
"2025-12-14 16:34:39","79.154.218.172","pag_principal","ru","375x812","https://www.google.com/","None"
"2025-12-14 11:58:24","43.173.182.29","pag_principal","en-US","1280x1200","","None"
"2025-12-14 07:50:32","170.254.178.3","pag_principal","en-US","800x600","","None"
"2025-12-14 06:06:52","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-14 05:16:14","66.249.68.134","pag_principal","en-US","1024x1024","","None"
"2025-12-13 23:54:46","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-13 20:09:18","173.252.87.42","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-13 20:08:59","173.252.87.5","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-13 19:59:25","138.199.142.70","pag_principal","en-US","1366x768","","None"
"2025-12-13 19:50:00","168.119.215.103","pag_principal","en-US","1536x864","","None"
"2025-12-13 14:22:10","139.47.116.195","intro","ca","1280x720","https://www.google.com/","None"
"2025-12-13 14:22:03","139.47.116.195","matematiques","ca","1280x720","https://www.google.com/","None"
"2025-12-13 14:21:51","139.47.116.195","pag_principal","ca","1280x720","https://www.google.com/","None"
"2025-12-13 11:41:03","43.173.176.58","pag_principal","en-US","1280x1200","","None"
"2025-12-13 03:54:33","191.102.149.124","pag_principal","en-US","800x600","","None"
"2025-12-12 18:28:00","172.104.128.250","pag_principal","en-US","800x600","","None"
"2025-12-12 18:27:48","172.104.128.250","pag_principal","en-US","412x823","","None"
"2025-12-12 18:27:45","139.162.162.179","pag_principal","en-US","800x600","","None"
"2025-12-12 12:42:31","193.34.74.74","pag_principal","en-US","800x600","","None"
"2025-12-12 12:29:01","185.117.225.228","pag_principal","en-US","1080x1920","","None"
"2025-12-12 00:59:23","91.242.73.81","pag_principal","en-US","800x600","","None"
"2025-12-11 18:35:25","188.26.220.241","equip","es-ES","412x892","","None"
"2025-12-11 18:35:18","188.26.220.241","pag_principal","es-ES","412x892","","None"
"2025-12-10 19:40:06","62.43.100.176","pag_principal","es-ES","393x852","https://www.google.com/","None"
"2025-12-10 16:38:41","193.34.74.252","pag_principal","en-US","800x600","","None"
"2025-12-10 16:01:24","43.173.176.181","pag_principal","en-US","1280x1200","","None"
"2025-12-09 19:03:27","35.173.220.172","pag_principal","en-US","800x600","","None"
"2025-12-09 13:12:01","43.173.178.146","pag_principal","en-US","1280x1200","","None"
"2025-12-09 12:05:26","77.26.12.6","pag_principal","en-US","1920x1080","","None"
"2025-12-09 11:59:47","80.39.212.12","pag_principal","es-ES","1536x864","","None"
"2025-12-09 04:18:51","66.249.68.136","pag_principal","en-US","412x732","","None"
"2025-12-09 02:30:12","139.47.120.103","pag_principal","ca-ES","430x932","https://l.instagram.com/","None"
"2025-12-08 17:38:47","41.100.221.84","castella","fr-FR","360x760","","None"
"2025-12-08 17:38:46","41.100.221.84","angles","fr-FR","360x760","","None"
"2025-12-08 17:38:35","41.100.221.84","angles","fr-FR","360x760","","None"
"2025-12-08 17:38:17","41.100.221.84","pag_principal","fr-FR","360x760","","None"
"2025-12-08 16:14:17","186.179.59.145","pag_principal","en-US","800x600","","None"
"2025-12-08 04:39:56","40.77.179.44","pag_principal","en-US","800x600","","None"
"2025-12-07 16:08:38","43.173.181.138","pag_principal","en-US","1280x1200","","None"
"2025-12-07 14:34:19","205.169.39.87","pag_principal","en-US","1024x1024","","None"
"2025-12-07 14:23:11","205.169.39.57","pag_principal","en-US","800x600","","None"
"2025-12-07 14:13:59","104.197.69.115","pag_principal","en-US","800x600","","None"
"2025-12-07 04:05:46","91.107.198.104","pag_principal","en-US","1366x768","","None"
"2025-12-07 00:28:44","46.36.125.5","pag_principal","ru","320x568","https://www.google.com/","None"
"2025-12-06 19:15:37","173.252.127.11","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-06 19:15:18","173.252.127.7","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-06 02:24:27","69.160.160.51","pag_principal","en-US","1700x1000","","None"
"2025-12-05 16:03:08","43.173.180.238","pag_principal","en-US","1280x1200","","None"
"2025-12-05 12:30:07","186.179.59.39","pag_principal","en-US","800x600","","None"
"2025-12-05 07:34:55","66.249.68.128","pag_principal","en-US","412x732","","None"
"2025-12-04 21:51:40","62.210.90.217","pag_principal","en-US","800x600","","None"
"2025-12-04 21:41:44","51.159.102.240","pag_principal","en-US","800x600","","None"
"2025-12-04 19:58:00","23.95.23.139","pag_principal","en-US@posix","1280x720","","None"
"2025-12-03 17:58:05","43.173.175.244","pag_principal","en-US","1280x1200","","None"
"2025-12-03 02:57:28","66.249.68.136","pag_principal","en-US","1024x1024","","None"
"2025-12-03 02:57:22","66.249.68.128","pag_principal","en-US","412x732","","None"
"2025-12-03 02:20:19","66.249.68.131","pag_principal","en-US","412x732","","None"
"2025-12-02 19:49:02","31.13.127.28","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-12-02 19:48:42","31.13.127.19","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2025-12-02 15:57:14","43.173.181.40","pag_principal","en-US","1280x1200","","None"
"2025-12-02 07:23:00","205.169.39.249","pag_principal","en-US","1024x1024","","None"
"2025-12-02 07:22:45","34.72.176.129","pag_principal","en-US","800x600","","None"
"2025-12-01 22:23:05","51.159.106.91","follow","en-US","1280x720","","None"
"2025-12-01 22:23:04","51.159.106.91","pag_principal","en-US","1280x720","","None"
"2025-12-01 19:55:08","62.210.90.177","pag_principal","en-US","800x600","","None"
"2025-12-01 18:00:01","43.173.175.206","pag_principal","en-US","1280x1200","","None"
"2025-11-29 22:55:34","139.47.120.103","pag_principal","ca-ES","430x932","https://l.instagram.com/","None"
"2025-11-29 22:31:29","66.94.107.177","pag_principal","en-US","800x600","","None"
"2025-11-29 18:54:55","173.252.82.112","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-11-29 18:54:36","173.252.82.3","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2025-11-29 17:59:47","43.152.137.32","pag_principal","en-US","3840x2160","","None"
"2025-11-29 13:50:05","89.141.136.92","pag_principal","es-ES","360x802","https://www.google.com/","None"
"2025-11-29 03:09:27","79.112.55.37","pag_principal","es-ES","1920x1080","","None"
"2025-11-29 01:29:40","51.159.103.8","pag_principal","en-US","800x600","","None"
"2025-11-28 20:44:46","149.57.176.214","pag_principal","en-US","1920x890","","None"
"2025-11-28 12:41:15","40.77.177.81","pag_principal","en-US","800x600","","None"
"2025-11-27 18:03:48","66.249.68.135","pag_principal","en-US","412x732","","None"
"2025-11-27 16:04:17","43.173.177.221","pag_principal","en-US","1280x1200","","None"
"2025-11-27 14:44:56","176.80.123.135","pag_principal","es-ES","320x686","https://www.google.com/","None"
"2025-11-27 14:44:48","176.80.123.135","matematiques","es-ES","320x686","https://www.google.com/","None"
"2025-11-27 13:45:59","35.93.194.204","pag_principal","en-US","800x600","","None"
"2025-11-27 11:12:52","170.247.222.61","pag_principal","en-US","800x600","","None"
"2025-11-26 16:56:12","43.173.181.94","pag_principal","en-US","1280x1200","","None"
"2025-11-26 11:32:39","188.26.220.241","pag_principal","ca","1600x900","","None"
"2025-11-26 11:31:46","188.26.220.241","pag_principal","ca","1600x900","","None"
